supplier_id,supplier_name,category,region,performance_score,delivery_time_days,quality_rating,cost_index,risk_level,contract_value_usd,last_audit_date,next_review_date,strategic_importance,sustainability_score
SUP001,TechComponents Ltd,Electronics,North America,92.5,3.2,4.8,98.5,Low,2500000,2024-06-15,2024-12-15,High,85
SUP002,Global Manufacturing Co,Hardware,Asia-Pacific,88.7,5.1,4.6,89.2,Medium,4200000,2024-05-20,2024-11-20,Critical,72
SUP003,Precision Parts Inc,Components,Europe,94.1,2.8,4.9,102.3,Low,1800000,2024-07-10,2025-01-10,Medium,91
SUP004,Industrial Solutions LLC,Raw Materials,North America,86.3,4.7,4.4,85.6,Medium,3100000,2024-04-25,2024-10-25,High,68
SUP005,Advanced Alloys Corp,Materials,Europe,90.8,3.9,4.7,95.8,Low,2700000,2024-06-30,2024-12-30,High,83
SUP006,Pacific Electronics,Electronics,Asia-Pacific,85.2,6.2,4.3,78.9,High,1900000,2024-03-15,2024-09-15,Medium,65
SUP007,European Tech Systems,Software,Europe,93.7,1.5,4.8,110.4,Low,950000,2024-07-25,2025-01-25,Critical,88
SUP008,Mountain Mining Co,Raw Materials,North America,79.4,8.3,3.9,72.1,High,5600000,2024-02-10,2024-08-10,High,52
SUP009,Coastal Manufacturing,Hardware,North America,91.2,4.1,4.7,92.7,Medium,2200000,2024-05-05,2024-11-05,Medium,79
SUP010,Nordic Innovations,Technology,Europe,96.3,2.1,4.9,115.2,Low,1400000,2024-08-01,2025-02-01,High,93
SUP011,Asian Precision Works,Components,Asia-Pacific,87.9,4.8,4.5,86.3,Medium,3300000,2024-04-10,2024-10-10,High,71
SUP012,Continental Logistics,Services,Europe,89.5,3.6,4.6,88.9,Low,1100000,2024-06-20,2024-12-20,Medium,77
SUP013,Desert Materials Corp,Raw Materials,North America,82.7,6.9,4.2,81.4,High,4100000,2024-03-30,2024-09-30,Critical,59
SUP014,Island Electronics,Electronics,Asia-Pacific,90.6,3.7,4.7,91.8,Medium,2600000,2024-07-05,2025-01-05,High,82
SUP015,Alpine Software Solutions,Software,Europe,95.1,1.8,4.9,108.6,Low,780000,2024-08-15,2025-02-15,Medium,89
SUP016,Prairie Components,Components,North America,88.4,4.3,4.5,87.2,Medium,1950000,2024-05-10,2024-11-10,Medium,74
SUP017,Mediterranean Metals,Materials,Europe,86.1,5.4,4.4,83.7,Medium,3700000,2024-04-05,2024-10-05,High,66
SUP018,Jungle Manufacturing,Hardware,South America,84.3,7.1,4.3,79.5,High,2800000,2024-02-28,2024-08-28,Medium,61
SUP019,Tundra Technologies,Technology,North America,92.8,2.9,4.8,99.3,Low,1650000,2024-07-20,2025-01-20,High,86
SUP020,Oceanic Systems,Electronics,Asia-Pacific,89.7,4.2,4.6,90.1,Medium,2300000,2024-06-10,2024-12-10,Medium,80
SUP021,Forest Products Inc,Raw Materials,North America,81.5,7.8,4.1,75.9,High,4800000,2024-01-15,2024-07-15,Critical,55
SUP022,Valley Components,Components,North America,93.2,3.1,4.8,96.4,Low,2100000,2024-08-05,2025-02-05,High,87
SUP023,Highland Manufacturing,Hardware,Europe,87.6,4.9,4.5,88.3,Medium,2900000,2024-05-25,2024-11-25,Medium,73
SUP024,River Systems Corp,Technology,North America,94.5,2.4,4.9,103.7,Low,1250000,2024-07-15,2025-01-15,High,90
SUP025,Steppe Materials,Materials,Asia,83.9,6.5,4.3,82.6,High,3500000,2024-03-20,2024-09-20,High,63
SUP026,Coastal Tech Solutions,Software,North America,91.7,2.7,4.7,94.8,Low,890000,2024-06-25,2024-12-25,Medium,84
SUP027,Urban Electronics,Electronics,Asia-Pacific,88.1,4.6,4.5,89.7,Medium,2750000,2024-04-15,2024-10-15,High,76
SUP028,Rural Components,Components,Europe,85.8,5.2,4.4,84.1,Medium,1700000,2024-05-30,2024-11-30,Medium,69
SUP029,Suburban Manufacturing,Hardware,North America,90.3,3.8,4.6,91.5,Medium,3200000,2024-07-30,2025-01-30,High,81
SUP030,Metropolitan Systems,Technology,Europe,95.8,1.9,4.9,111.8,Low,1050000,2024-08-10,2025-02-10,Critical,92
SUP031,Frontier Materials,Raw Materials,North America,80.2,8.1,4.0,76.3,High,5200000,2024-02-05,2024-08-05,High,57
SUP032,Border Electronics,Electronics,North America,89.4,4.0,4.6,90.9,Medium,2400000,2024-06-05,2024-12-05,Medium,78
SUP033,Central Components,Components,Asia-Pacific,86.7,5.0,4.4,85.8,Medium,1850000,2024-04-20,2024-10-20,Medium,70
SUP034,Eastern Manufacturing,Hardware,Asia-Pacific,92.1,3.5,4.7,93.6,Low,2650000,2024-07-10,2025-01-10,High,85
SUP035,Western Technologies,Technology,North America,93.9,2.6,4.8,100.2,Low,1350000,2024-08-20,2025-02-20,High,88
SUP036,Northern Materials,Materials,Europe,87.3,4.4,4.5,86.7,Medium,3000000,2024-05-15,2024-11-15,High,75
SUP037,Southern Electronics,Electronics,North America,88.8,4.1,4.6,89.4,Medium,2550000,2024-06-15,2024-12-15,Medium,77
SUP038,Lakeside Components,Components,North America,91.5,3.4,4.7,94.1,Low,1950000,2024-07-25,2025-01-25,Medium,83
SUP039,Hillside Manufacturing,Hardware,Europe,86.9,4.7,4.4,87.6,Medium,2850000,2024-04-30,2024-10-30,Medium,72
SUP040,Seaside Systems,Technology,Europe,94.7,2.2,4.9,105.3,Low,1150000,2024-08-25,2025-02-25,High,91
